StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q79,Q149,Q148,Q89,Q91,Q93,Q95,Q97,Q97_4_TEXT,Q99,Q99_5_TEXT,Q101,Q101_5_TEXT,Q103,Q103_2_TEXT,Q87,Q153,Q85,Q85_1_TEXT,Q85_2_TEXT,Q85_3_TEXT,Q85_4_TEXT,Q107,Q109,Q111,Q113,Q115,Q117,Q119,Q121,Q123,Q125,Q127,Q129,Q131,Q135,Q137,Q139,Q141,Q143,Q145,Q147,Q149,Q151,Q153,Q155,Q157,Q159,Q161,Q163,Q165,Q167,Q169,Q171,Q173,Q177,Q179,Q181,Q183,Q185,Q187,Q189,Q191,Q193,Q195,Q197,Q199,Q201,Q203
2021-04-20 10:22:55,2021-04-20 10:22:55,Spam,100,0,True,2021-04-20 10:22:55,R_3qaEiLLfOev9jBO,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-20 10:46:53,2021-04-20 10:46:53,Spam,100,0,True,2021-04-20 10:46:53,R_2vkn4ruSVnxiwac,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-20 10:43:59,2021-04-20 10:50:25,IP Address,100,385,True,2021-04-20 10:50:25,R_x3B1AG9GWLxW8Tv,anonymous,EN,Agree,,,25-30 years old,"5'6""-5'9""",100-125 lbs,Female,Female,,Heterosexual,,"Asian/Asian American,White/Caucasian",,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",Mi,091390,Ar,Gr,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,3= Often,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,2= Sometimes,2= Sometimes,1= Almost never,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,3= Often,3= Often,1= Almost never,3= Often,2= Sometimes,1= Almost never,4= Almost always,1= Almost never,2,2,2,1= Not at all characteristic or true of me,2,2,2,2,2,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2
2021-04-20 10:55:15,2021-04-20 11:01:28,IP Address,100,372,True,2021-04-20 11:01:28,R_2wbKp7Z3pSrYEvo,anonymous,EN,Agree,,,25-30 years old,"5'3""-5'6""",125-150 lbs,Female,Female,,Heterosexual,,Black/African American,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",Mo,10,Ei,Br,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,3= Often,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,1= Almost never,3= Often,2= Sometimes,1= Almost never,3= Often,1= Almost never,1= Almost never,4= Almost always,3= Often,1= Almost never,3= Often,2= Sometimes,2= Sometimes,3= Often,2= Sometimes,2,1= Not at all characteristic or true of me,3= Moderately characteristic or true of me,3= Moderately characteristic or true of me,3= Moderately characteristic or true of me,4,4,4,3= Moderately characteristic or true of me,2,4,4,4,3= Moderately characteristic or true of me
2021-04-20 11:00:38,2021-04-20 11:07:32,IP Address,100,413,True,2021-04-20 11:07:32,R_2PneWRblbWgIHT8,anonymous,EN,Agree,,,30-35 years old,"5'6""-5'9""",125-150 lbs,Female,Other:,,Other:,gay,White/Caucasian,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",jo,05,sw,bl,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,2= Sometimes,2= Sometimes,2= Sometimes,4= Almost always,3= Often,2= Sometimes,3= Often,3= Often,3= Often,2= Sometimes,2= Sometimes,4= Almost always,3= Often,2= Sometimes,3= Often,1= Almost never,2= Sometimes,4= Almost always,1= Almost never,4= Almost always,4,3= Moderately characteristic or true of me,1= Not at all characteristic or true of me,3= Moderately characteristic or true of me,3= Moderately characteristic or true of me,4,3= Moderately characteristic or true of me,1= Not at all characteristic or true of me,3= Moderately characteristic or true of me,3= Moderately characteristic or true of me,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me
2021-04-20 11:31:33,2021-04-20 11:36:03,IP Address,100,270,True,2021-04-20 11:36:04,R_1pWMHxkeZiXPBRs,anonymous,EN,Agree,,,25-30 years old,"5'9""-6'0""",125-150 lbs,Female,Female,,Heterosexual,,White/Caucasian,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",ma,02,aa,bl,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,4= Almost always,2= Sometimes,3= Often,1= Almost never,1= Almost never,3= Often,3= Often,1= Almost never,2= Sometimes,4= Almost always,1= Almost never,2= Sometimes,3= Often,3= Often,2= Sometimes,4= Almost always,2= Sometimes,2= Sometimes,3= Often,1= Almost never,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me
2021-04-20 11:51:51,2021-04-20 11:51:51,Spam,100,0,True,2021-04-20 11:51:52,R_2sR6yFI99FGmQP5,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-20 10:01:17,2021-04-20 12:14:41,IP Address,100,8004,True,2021-04-20 12:14:41,R_27HUoW2LVc7KT9q,anonymous,EN,Agree,,,25-30 years old,"5'3""-5'6""",125-150 lbs,Female,Female,,Heterosexual,,Asian/Asian American,,Other:,Tamil,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",X,10,Bu,Br,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,3= Often,2= Sometimes,3= Often,1= Almost never,1= Almost never,2= Sometimes,2= Sometimes,3= Often,2= Sometimes,4= Almost always,1= Almost never,3= Often,4= Almost always,2= Sometimes,2= Sometimes,4= Almost always,2= Sometimes,2= Sometimes,3= Often,3= Often,2,2,2,3= Moderately characteristic or true of me,2,1= Not at all characteristic or true of me,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me
2021-04-20 12:25:24,2021-04-20 12:31:24,IP Address,100,360,True,2021-04-20 12:31:25,R_27Pug1YtOPsXzS3,anonymous,EN,Agree,,,25-30 years old,"5'0""-5'3""",125-150 lbs,Female,Female,,Heterosexual,,White/Caucasian,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",EL,08,96,BR,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,3= Often,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,2= Sometimes,3= Often,1= Almost never,2= Sometimes,3= Often,1= Almost never,2= Sometimes,3= Often,3= Often,2= Sometimes,3= Often,1= Almost never,2= Sometimes,3= Often,2= Sometimes,3= Moderately characteristic or true of me,2,4,3= Moderately characteristic or true of me,4,1= Not at all characteristic or true of me,3= Moderately characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2,3= Moderately characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me
2021-04-20 12:28:44,2021-04-20 12:33:19,IP Address,100,274,True,2021-04-20 12:33:19,R_YbRtUqCE97mkTXH,anonymous,EN,Agree,,,25-30 years old,"5'9""-6'0""",150-175 lbs,Female,Female,,Heterosexual,,White/Caucasian,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",An,03,6t,gr,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,4= Almost always,3= Often,3= Often,1= Almost never,2= Sometimes,3= Often,3= Often,1= Almost never,2= Sometimes,3= Often,1= Almost never,2= Sometimes,3= Often,3= Often,3= Often,3= Often,2= Sometimes,3= Often,3= Often,1= Almost never,1= Not at all characteristic or true of me,4,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2,1= Not at all characteristic or true of me,2
2021-04-20 14:27:53,2021-04-20 14:27:53,Spam,100,0,True,2021-04-20 14:27:54,R_1QgfdsMie1L5k2T,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-20 16:38:51,2021-04-20 16:38:51,Spam,100,0,True,2021-04-20 16:38:52,R_qxYhVoAAGWkMTn3,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-20 22:39:03,2021-04-20 22:44:21,IP Address,100,318,True,2021-04-20 22:44:21,R_2tJTJbxl7zlWjaz,anonymous,EN,Agree,,,30-35 years old,"5'6""-5'9""",200-225 lbs,Male,Male,,Heterosexual,,White/Caucasian,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",X,06,BA,GR,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,4= Almost always,3= Often,1= Almost never,3= Often,4= Almost always,1= Almost never,2= Sometimes,2= Sometimes,2= Sometimes,2= Sometimes,2= Sometimes,4= Almost always,2= Sometimes,3= Often,4= Almost always,2= Sometimes,2= Sometimes,3= Often,1= Almost never,2= Sometimes,2,1= Not at all characteristic or true of me,2,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,3= Moderately characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me
2021-04-21 08:18:00,2021-04-21 08:22:26,IP Address,100,266,True,2021-04-21 08:22:27,R_2doOBYqV5Djy0gx,anonymous,EN,Agree,,,30-35 years old,"5'6""-5'9""",125-150 lbs,Female,Female,,Heterosexual,,White/Caucasian,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",EL,04,15,BL,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,4= Almost always,1= Almost never,4= Almost always,1= Almost never,1= Almost never,3= Often,4= Almost always,1= Almost never,2= Sometimes,4= Almost always,1= Almost never,1= Almost never,4= Almost always,2= Sometimes,1= Almost never,4= Almost always,1= Almost never,2= Sometimes,4= Almost always,1= Almost never,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2,2,2,3= Moderately characteristic or true of me,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me
2021-04-21 11:29:35,2021-04-21 11:36:36,IP Address,100,420,True,2021-04-21 11:36:36,R_3P67Ym43KHxmpLi,anonymous,EN,Agree,,,25-30 years old,"5'6""-5'9""",125-150 lbs,Female,Female,,Heterosexual,,"Asian/Asian American,White/Caucasian",,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",X,04,MU,BR,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,4= Almost always,1= Almost never,3= Often,1= Almost never,1= Almost never,3= Often,3= Often,1= Almost never,2= Sometimes,4= Almost always,1= Almost never,1= Almost never,4= Almost always,4= Almost always,1= Almost never,4= Almost always,1= Almost never,2= Sometimes,4= Almost always,2= Sometimes,2,2,2,2,2,2,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2,1= Not at all characteristic or true of me,2
2021-04-22 06:38:17,2021-04-22 06:38:17,Spam,100,0,True,2021-04-22 06:38:18,R_ClXGbsC84X1Ftvj,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-20 15:15:11,2021-04-21 11:45:26,IP Address,76,73814,False,2021-04-23 11:45:26,R_2w6Irsx32d80XcI,anonymous,EN,Agree,,,25-30 years old,"5'0""-5'3""",100-125 lbs,Female,Female,,Heterosexual,,White/Caucasian,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",RO,11,PI,BR,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,4= Almost always,2= Sometimes,3= Often,2= Sometimes,1= Almost never,2= Sometimes,3= Often,2= Sometimes,3= Often,4= Almost always,2= Sometimes,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,3= Often,3= Often,3= Often,3= Often,3= Often,,,,,,,,,,,,,,
2021-04-26 12:25:18,2021-04-26 12:25:18,Spam,100,0,True,2021-04-26 12:25:18,R_307hKANfJzoIeM0,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-26 12:56:55,2021-04-26 12:56:55,Spam,100,0,True,2021-04-26 12:56:55,R_1g6dubSyX9JRznv,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-26 12:58:12,2021-04-26 13:02:46,IP Address,100,273,True,2021-04-26 13:02:46,R_AsyIpH8HymR7qjn,anonymous,EN,Agree,,,25-30 years old,"5'0""-5'3""",125-150 lbs,Female,Female,,Heterosexual,,Asian/Asian American,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",X,07,TR,BR,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes,3= Often,2= Sometimes,3= Often,2= Sometimes,1= Almost never,3= Often,3= Often,1= Almost never,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,2= Sometimes,3= Often,3= Often,3= Often,2= Sometimes,2= Sometimes,3= Often,1= Almost never,3= Moderately characteristic or true of me,2,2,4,4,3= Moderately characteristic or true of me,3= Moderately characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2,2,2,1= Not at all characteristic or true of me,2
2021-04-26 21:44:13,2021-04-26 21:44:13,Spam,100,0,True,2021-04-26 21:44:14,R_1n8FIrwijo9C6lP,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-27 12:04:17,2021-04-27 12:04:17,Spam,100,0,True,2021-04-27 12:19:18,R_dpf6QBmtXdMI3xD,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-27 12:40:55,2021-04-27 12:40:55,Spam,100,0,True,2021-04-27 12:40:56,R_zTsSHYDXRqATipj,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-27 14:34:57,2021-04-27 14:34:57,Spam,100,0,True,2021-04-27 14:34:58,R_8HCuFYf9Eck2u3f,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-28 10:50:50,2021-04-28 10:50:50,Spam,100,0,True,2021-04-28 10:50:51,R_3PbE45y7Ms9ZXgm,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-28 12:07:17,2021-04-28 12:11:55,IP Address,100,277,True,2021-04-28 12:11:55,R_p9io9q1lZS2iuGZ,anonymous,EN,Agree,,,25-30 years old,"5'6""-5'9""",150-175 lbs,Female,Female,,Heterosexual,,Asian/Asian American,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",X,09,X,BR,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,3= Often,2= Sometimes,2= Sometimes,2= Sometimes,2= Sometimes,2= Sometimes,2= Sometimes,1= Almost never,2= Sometimes,3= Often,2= Sometimes,3= Often,3= Often,3= Often,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,3= Often,2= Sometimes,2,1= Not at all characteristic or true of me,2,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2,3= Moderately characteristic or true of me,2
2021-05-01 08:44:01,2021-05-01 08:44:01,Spam,100,0,True,2021-05-01 08:44:02,R_3JykRwRDy4G8Mxd,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01 08:53:12,2021-05-01 08:53:12,Spam,100,0,True,2021-05-01 08:53:12,R_1GVU3q8leRrcP0T,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01 08:56:33,2021-05-01 08:56:33,Spam,100,0,True,2021-05-01 08:56:33,R_1f3J9m7U2vpNces,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01 09:29:28,2021-05-01 09:29:28,Spam,100,0,True,2021-05-01 09:29:28,R_1JPVx3lxT9TUfrS,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01 09:49:52,2021-05-01 09:49:52,Spam,100,0,True,2021-05-01 09:49:52,R_1EWGWVuuyIpprVs,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01 10:11:51,2021-05-01 10:11:51,Spam,100,0,True,2021-05-01 10:11:52,R_2dGz5wwCDUgcEMI,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01 11:51:42,2021-05-01 11:51:42,Spam,100,0,True,2021-05-01 11:51:42,R_2YgGiO0GKzsEKon,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01 20:25:47,2021-05-01 20:30:35,IP Address,100,288,True,2021-05-01 20:30:35,R_1jxmwTHyBFVmEZ3,anonymous,EN,Agree,,Fourth year,25-30 years old,"5'3""-5'6""",150-175 lbs,Female,Female,,Heterosexual,,Asian/Asian American,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",LA,08,HO,BR,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,3= Often,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,3= Often,3= Often,2= Sometimes,3= Often,3= Often,1= Almost never,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,3= Often,2= Sometimes,3= Moderately characteristic or true of me,2,2,3= Moderately characteristic or true of me,3= Moderately characteristic or true of me,3= Moderately characteristic or true of me,3= Moderately characteristic or true of me,2,2,3= Moderately characteristic or true of me,2,3= Moderately characteristic or true of me,4,2
2021-05-02 00:25:15,2021-05-02 00:34:53,IP Address,100,578,True,2021-05-02 00:34:54,R_31bGIEQdcrV6M4N,anonymous,EN,Agree,,Fourth year,25-30 years old,"5'6""-5'9""",125-150 lbs,Male,Male,,Heterosexual,,Asian/Asian American,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",X,03,wa,br,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,3= Often,2= Sometimes,3= Often,2= Sometimes,1= Almost never,3= Often,3= Often,2= Sometimes,3= Often,3= Often,1= Almost never,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,3= Often,3= Often,2= Sometimes,2= Sometimes,2= Sometimes,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2,2,2,3= Moderately characteristic or true of me,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me
2021-05-02 10:57:08,2021-05-02 10:57:08,Spam,100,0,True,2021-05-02 10:57:08,R_2fd1wPEWEOSEfJs,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-02 10:58:59,2021-05-02 10:58:59,Spam,100,0,True,2021-05-02 10:58:59,R_2U0chR17LwQQpPd,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-02 17:17:59,2021-05-02 17:17:59,Spam,100,0,True,2021-05-02 17:17:59,R_2fBblXzwJyxNJPJ,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-02 18:38:31,2021-05-02 18:43:50,IP Address,100,318,True,2021-05-02 18:43:51,R_3dHcPUfJSrkYOx6,anonymous,EN,Agree,,Fourth year,25-30 years old,"5'6""-5'9""",175-200 lbs,Female,Female,,Heterosexual,,Hispanic/Latinx,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",X,11,7t,br,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,3= Often,2= Sometimes,3= Often,1= Almost never,1= Almost never,3= Often,3= Often,1= Almost never,1= Almost never,4= Almost always,1= Almost never,2= Sometimes,3= Often,3= Often,2= Sometimes,4= Almost always,1= Almost never,1= Almost never,3= Often,1= Almost never,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me
2021-05-02 21:39:18,2021-05-02 22:31:54,IP Address,100,3156,True,2021-05-02 22:31:54,R_4Ibndj9qD9iK7x7,anonymous,EN,Agree,,Fourth year,25-30 years old,"5'3""-5'6""",100-125 lbs,Female,Female,,Heterosexual,,White/Caucasian,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",X,10,37,br,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Yes,3= Often,3= Often,3= Often,2= Sometimes,2= Sometimes,2= Sometimes,2= Sometimes,2= Sometimes,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,4= Almost always,2= Sometimes,3= Often,3= Often,3= Often,2,1= Not at all characteristic or true of me,2,2,3= Moderately characteristic or true of me,1= Not at all characteristic or true of me,4,1= Not at all characteristic or true of me,4,2,4,2,3= Moderately characteristic or true of me,3= Moderately characteristic or true of me
2021-05-03 09:38:38,2021-05-03 09:45:46,IP Address,100,427,True,2021-05-03 09:45:46,R_1HplMXY7K7u8hk0,anonymous,EN,Agree,,Fourth year,25-30 years old,"6'0""-6'3""",175-200 lbs,Male,Male,,Heterosexual,,White/Caucasian,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",X,03,16,Bl,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,4= Almost always,2= Sometimes,4= Almost always,3= Often,1= Almost never,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,4= Almost always,2= Sometimes,1= Almost never,3= Often,3= Often,1= Almost never,3= Often,3= Often,2= Sometimes,3= Often,2= Sometimes,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,3= Moderately characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me
2021-05-01 12:23:25,2021-05-01 12:42:35,IP Address,21,1149,False,2021-05-03 12:42:36,R_1IaAXcwcI35nlnp,anonymous,EN,Agree,,Fourth year,25-30 years old,"5'3""-5'6""",125-150 lbs,Female,Female,,Heterosexual,,Hispanic/Latinx,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",co,04,21,br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
